geracao,melhor_medio,pior_medio,media_populacional
0,7086.0667,6082.1333,6434.8407
1,7086.5333,6083.3333,6703.3527
2,7086.8667,6083.9333,6904.4720
3,7087.1333,6118.1000,6983.4280
4,7087.2000,6087.3333,7005.9960
5,7087.2000,6089.0000,7018.2127
6,7087.2667,6154.2667,7014.8460
7,7087.2667,6154.6000,7026.3133
8,7087.2667,6088.6000,7017.2480
9,7087.2667,6121.5667,7020.5260
10,7087.2667,6153.8667,7026.7227
11,7087.2667,6155.9333,7030.2193
12,7087.2667,6155.0000,7024.0680
13,7087.3333,6122.4333,7027.5420
14,7087.3333,6154.4667,7027.4633
15,7087.3333,6089.4667,7020.0213
16,7087.3333,6122.7000,7036.8660
17,7087.3333,6121.9000,7017.5760
18,7087.3333,6154.8667,7029.4880
19,7087.3333,6122.5000,7024.2907
20,7087.3333,6088.9333,7027.5993
21,7087.3333,6122.1667,7027.6607
22,7087.3333,6122.9667,7026.3193
23,7087.3333,6155.1333,7024.1973
24,7087.3333,6121.6333,7021.6107
25,7087.3333,6155.2000,7024.9647
26,7087.3333,6155.7333,7019.7113
27,7087.3333,6089.2667,7015.0347
28,7087.3333,6187.9000,7025.6693
29,7087.3333,6187.6333,7031.5527
30,7087.3333,6089.4000,7028.9167
31,7087.3333,6089.6000,7028.9980
32,7087.3333,6088.7333,7018.9720
33,7087.3333,6155.2667,7022.9853
34,7087.3333,6154.2667,7026.2620
35,7087.3333,6122.2333,7030.9827
36,7087.3333,6122.3667,7031.5780
37,7087.3333,6089.2667,7030.2180
38,7087.3333,6154.4000,7025.6560
39,7087.3333,6089.6667,7024.3307
40,7087.3333,6089.3333,7021.6907
41,7087.3333,6154.6667,7022.2913
42,7087.3333,6089.0000,7009.8093
43,7087.3333,6122.3000,7021.6360
44,7087.3333,6089.6667,7026.9267
45,7087.3333,6154.7333,7021.6667
46,7087.3333,6220.5333,7029.5747
47,7087.3333,6221.4667,7021.6827
48,7087.3333,6154.7333,7018.3633
49,7087.3333,6123.1667,7030.9533
50,7087.3333,6121.9667,7029.7093
51,7087.3333,6155.2000,7026.2580
52,7087.3333,6121.5000,7019.5740
53,7087.3333,6154.0667,7023.6687
54,7087.3333,6154.9333,7027.0053
55,7087.3333,6122.5667,7024.2907
56,7087.3333,6121.3000,7024.9193
57,7087.3333,6122.2333,7030.2993
58,7087.3333,6188.1667,7031.6953
59,7087.3333,6123.1667,7031.7100
60,7087.3333,6155.0667,7026.9720
61,7087.3333,6089.5333,7017.7560
62,7087.3333,6089.5333,7026.9733
63,7087.3333,6089.2000,7014.3900
64,7087.3333,6122.1000,7021.0553
65,7087.3333,6156.0000,7029.6467
66,7087.3333,6221.2000,7025.6680
67,7087.3333,6187.1667,7018.2847
68,7087.3333,6153.9333,7022.3540
69,7087.3333,6155.8667,7013.6907
70,7087.3333,6154.3333,7028.2080
71,7087.3333,6122.9667,7034.9067
72,7087.3333,6155.2667,7028.2760
73,7087.3333,6089.4000,7029.0260
74,7087.3333,6154.6667,7032.2160
75,7087.3333,6155.2667,7025.6253
76,7087.3333,6188.8333,7031.6220
77,7087.3333,6155.0000,7028.8167
78,7087.3333,6122.5000,7035.5980
79,7087.3333,6154.6667,7033.5000
80,7087.3333,6155.4000,7018.9280
81,7087.3333,6121.7000,7013.0953
82,7087.3333,6154.8667,7030.3167
83,7087.3333,6089.8000,7035.6113
84,7087.3333,6089.4000,7022.3340
85,7087.3333,6155.4000,7024.3213
86,7087.3333,6121.9667,7015.6460
87,7087.3333,6155.0000,7019.0160
88,7087.3333,6122.3000,7034.8227
89,7087.3333,6154.8667,7021.0793
90,7087.3333,6121.9667,7020.9740
91,7087.3333,6154.5333,7032.9327
92,7087.3333,6122.2333,7021.7120
93,7087.3333,6121.7000,7018.8947
94,7087.3333,6155.5333,7023.6047
95,7087.3333,6187.7000,7022.3487
96,7087.3333,6121.9000,7026.2713
97,7087.3333,6221.0000,7038.3727
98,7087.3333,6122.5667,7024.2653
99,7087.3333,6155.3333,7025.6147
100,7087.3333,6154.7333,7032.9287
101,7087.3333,6089.7333,7026.4153
102,7087.3333,6122.5667,7028.9353
103,7087.3333,6156.2000,7031.6607
104,7087.3333,6155.4667,7016.3333
105,7087.3333,6089.8000,7019.5487
106,7087.3333,6088.6000,7021.5920
107,7087.3333,6122.6333,7018.3420
108,7087.3333,6188.1000,7022.9840
109,7087.3333,6188.0333,7030.9227
110,7087.3333,6155.4667,7030.3353
111,7087.3333,6122.4333,7023.0533
112,7087.3333,6088.8000,7015.7447
113,7087.3333,6122.8333,7034.1300
114,7087.3333,6088.9333,7020.3507
115,7087.3333,6122.5667,7023.0293
116,7087.3333,6089.0667,7024.9300
117,7087.3333,6188.4333,7033.5640
118,7087.3333,6122.2333,7031.1120
119,7087.3333,6122.0333,7028.2133
120,7087.3333,6122.0333,7027.5207
121,7087.3333,6155.3333,7028.2720
122,7087.3333,6155.7333,7036.1920
123,7087.3333,6122.7000,7030.2473
124,7087.3333,6121.9667,7019.6247
125,7087.3333,6088.2667,7015.6593
126,7087.3333,6221.2000,7034.9387
127,7087.3333,6121.8333,7029.6200
128,7087.3333,6155.3333,7028.1813
129,7087.3333,6122.3000,7034.2287
130,7087.3333,6220.9333,7022.9627
131,7087.4000,6122.4333,7027.5780
132,7087.4000,6155.0667,7034.7920
133,7087.4000,6123.3667,7030.2780
134,7087.4000,6154.5333,7021.6893
135,7087.4000,6089.7333,7027.6847
136,7087.4000,6122.8333,7023.0653
137,7087.4000,6122.8333,7030.3087
138,7087.4000,6154.6667,7025.6520
139,7087.4000,6089.6667,7030.4193
140,7087.4000,6156.9333,7033.0367
141,7087.4000,6123.0333,7030.9760
142,7087.4000,6187.7000,7035.6767
143,7087.4000,6154.9333,7029.0180
144,7087.4000,6221.2000,7024.9353
145,7087.4000,6155.2000,7028.3520
146,7087.4000,6089.6667,7024.4147
147,7087.4000,6121.8333,7021.7653
148,7087.4000,6253.3667,7029.6573
149,7087.4000,6154.8000,7016.3573
150,7087.4000,6154.8000,7021.1420
151,7087.4000,6189.3667,7035.7127
152,7087.4000,6154.9333,7023.6780
153,7087.4000,6089.8000,7029.0820
154,7087.4000,6089.4667,7027.7540
155,7087.4000,6155.0000,7036.3333
156,7087.4000,6089.2667,7018.5460
157,7087.4000,6154.6000,7025.1247
158,7087.4000,6089.6667,7019.8020
159,7087.4000,6089.0000,7012.5467
160,7087.4000,6087.9333,7021.0327
161,7087.4000,6121.5000,7020.4613
162,7087.4000,6122.3000,7023.0920
163,7087.4000,6089.4000,7023.6033
164,7087.4000,6155.1333,7028.9913
165,7087.4000,6090.4000,7025.1593
166,7087.4000,6089.4667,7019.1813
167,7087.4000,6122.2333,7028.4347
168,7087.4000,6155.0000,7031.7727
169,7087.4000,6188.5000,7033.0460
