geracao,melhor_medio,pior_medio,media_populacional
0,6567.5333,-997.8667,1692.8500
1,6704.6667,-997.2333,3906.1660
2,6790.6000,-996.6667,4996.7893
3,6859.1333,-995.1667,5324.2347
4,6869.2667,-993.5667,5529.0447
5,6873.7333,-765.0000,5823.8013
6,6875.6667,-768.0333,5892.4260
7,6885.0667,-995.1333,5885.9867
8,6885.4000,-538.4000,6152.3287
9,6886.1333,-994.2667,6133.1933
10,6888.5333,-766.8667,6172.1087
11,6888.5333,-539.1667,6155.3087
12,6896.1333,-540.6333,6195.8607
13,6896.1333,-309.2000,6335.6353
14,6896.8667,-533.5667,6325.5860
15,6899.6667,-994.3000,6294.0800
16,6899.6667,-313.7000,6377.9133
17,6899.6667,-993.7667,6345.8447
18,6899.6667,-315.7000,6339.1207
19,6899.6667,-536.8333,6340.6693
20,6899.6667,-769.9667,6298.3813
21,6902.1333,-314.1333,6322.4293
22,6902.1333,-307.3000,6426.4367
23,6902.1333,-763.6000,6328.4153
24,6905.1333,-78.8000,6386.2513
25,6905.1333,-539.1333,6354.6573
26,6906.6000,-314.0000,6398.7173
27,6906.6000,-317.0667,6388.1507
28,6906.6000,-537.8667,6339.8167
29,6906.6000,-761.3333,6367.4967
30,6906.6000,-315.2667,6339.6380
31,6907.2000,-538.9333,6410.6660
32,6907.2000,-992.6000,6304.8787
33,6907.2000,-534.1667,6466.6213
34,6907.2000,-315.0667,6393.8840
35,6907.2000,-536.0000,6403.5693
36,6907.2000,-539.8667,6321.2733
37,6907.2000,-991.9667,6375.8620
38,6907.2000,-994.9000,6324.8927
39,6907.2000,-768.0000,6394.2873
40,6907.2000,-767.2000,6389.9273
41,6907.2000,-316.2333,6355.5140
42,6907.2000,-992.9333,6386.3327
43,6907.2000,-993.4333,6303.1833
44,6907.2000,-313.3667,6440.3207
45,6907.2000,-764.5333,6332.5373
46,6907.2000,-315.9333,6315.8407
47,6907.2000,-993.4333,6376.7673
48,6907.2000,-994.0333,6360.9787
49,6907.2000,-309.4000,6390.0500
50,6907.2000,-764.3667,6341.6500
51,6907.2000,-993.3333,6283.5927
52,6907.2000,148.9667,6417.5487
53,6907.2000,-539.4000,6437.0787
54,6907.2000,-284.0000,6346.1433
55,6907.2000,-994.0333,6380.2120
56,6907.2000,-309.5667,6342.3013
57,6907.2000,-769.4667,6354.6687
58,6907.2000,-761.2000,6354.7940
59,6907.2000,-994.8000,6240.9533
60,6907.2000,-87.9333,6368.7587
61,6907.2000,-767.2333,6310.7087
62,6907.2000,-310.0333,6417.1453
63,6907.2000,-537.9333,6357.1240
64,6907.2000,-765.5000,6407.3533
65,6907.2000,-994.0000,6340.8460
66,6907.2000,-536.0333,6404.1027
67,6907.2000,-44.7667,6417.5760
68,6907.2000,-541.3333,6386.7780
