geracao,melhor_medio,pior_medio,media_populacional
158,6096.0000,6094.4667,6095.9480
159,6096.0000,6094.5333,6095.9480
160,6096.0000,6094.2000,6095.9400
161,6096.0000,6094.6000,6095.9467
162,6096.0000,6094.2667,6095.9267
163,6096.0000,6094.5333,6095.9400
164,6096.0000,6094.7333,6095.9547
165,6096.0000,6094.1333,6095.9280
166,6096.0000,6094.8000,6095.9573
167,6096.0000,6094.4000,6095.9440
168,6096.0000,6094.6000,6095.9520
169,6096.0000,6094.4667,6095.9493
170,6096.0000,6094.4000,6095.9387
171,6096.0000,6094.4667,6095.9387
172,6096.0000,6094.4667,6095.9413
173,6096.0000,6094.5333,6095.9573
174,6096.0000,6094.4667,6095.9493
175,6096.0000,6094.6000,6095.9467
176,6096.0000,6094.2667,6095.9320
177,6096.0000,6094.5333,6095.9547
178,6096.0000,6094.5333,6095.9413
179,6096.0000,6094.4667,6095.9413
180,6096.0000,6094.5333,6095.9467
181,6096.0000,6094.5333,6095.9573
182,6096.0000,6094.8000,6095.9520
183,6096.0000,6094.4667,6095.9400
184,6096.0000,6094.4667,6095.9480
185,6096.0000,6094.4000,6095.9533
186,6096.0000,6094.5333,6095.9573
187,6096.0000,6094.8000,6095.9493
188,6096.0000,6094.3333,6095.9507
189,6096.0000,6094.4667,6095.9400
190,6096.0000,6094.3333,6095.9440
191,6096.0000,6094.7333,6095.9493
192,6096.0000,6094.6667,6095.9640
193,6096.0000,6094.5333,6095.9520
194,6096.0000,6094.7333,6095.9480
195,6096.0000,6094.4000,6095.9320
196,6096.0000,6094.4000,6095.9440
197,6096.0000,6094.5333,6095.9360
198,6096.0000,6094.4667,6095.9453
199,6096.0000,6094.3333,6095.9347
200,6096.0000,6094.5333,6095.9347
201,6096.0000,6094.2667,6095.9360
202,6096.0000,6094.4000,6095.9453
203,6096.0000,6094.4667,6095.9360
204,6096.0000,6094.3333,6095.9227
205,6096.0000,6094.4667,6095.9453
206,6096.0000,6094.1333,6095.9227
207,6096.0000,6094.6000,6095.9600
208,6096.0000,6094.6000,6095.9600
209,6096.0000,6094.6000,6095.9560
210,6096.0000,6094.6667,6095.9520
211,6096.0000,6094.4667,6095.9360
212,6096.0000,6094.8000,6095.9493
213,6096.0000,6094.3333,6095.9307
214,6096.0000,6094.4667,6095.9493
215,6096.0000,6094.5333,6095.9373
216,6096.0000,6094.2667,6095.9440
