geracao,melhor_medio,pior_medio,media_populacional
0,6856.3333,-1009.8333,1693.1480
1,6861.4000,-973.3333,2670.6860
2,6864.0667,-889.2333,3538.5320
3,6864.6667,-788.7333,4189.1853
4,6865.0667,-624.4333,4782.6267
5,6865.9333,-506.9667,5112.4013
6,6866.0000,-430.0333,5595.3460
7,6866.4000,-371.8333,5758.9087
8,6866.7333,-495.4333,5827.2313
9,6866.9333,-469.1333,5791.7280
10,6866.9333,-435.7333,5885.4520
11,6867.1333,-381.7000,5958.9847
12,6867.2667,-471.7667,5884.1113
13,6867.2667,-496.3667,5865.9500
14,6867.2667,-501.5333,5973.7100
15,6867.2667,-398.4333,5980.4493
16,6867.2667,-335.6000,6085.5753
17,6867.2667,-363.9000,6069.6553
18,6867.2667,-424.9667,6027.5933
19,6867.4000,-478.7000,6038.9840
20,6867.4000,-172.5000,6119.8220
21,6867.4000,-545.9333,6033.5000
22,6867.4000,-320.3667,6147.2120
23,6867.4000,-540.9000,6052.8253
24,6867.5333,-471.7000,6044.7607
25,6867.6000,-295.0333,6062.1133
26,6867.6000,-356.3667,6198.4600
27,6867.6000,-393.7333,6104.0913
28,6867.6000,-168.2000,6131.6300
29,6867.6000,-498.2333,5996.9640
30,6867.6000,-397.5333,6141.3307
31,6867.8667,-435.0000,6050.9513
32,6867.8667,-497.7667,6037.1353
33,6867.8667,-99.9000,6044.7660
34,6867.8667,-495.2667,6078.3313
35,6867.8667,-267.1667,6151.1500
36,6867.8667,-434.3333,6077.9600
37,6868.0000,-433.3000,6064.8507
38,6868.0000,-393.1333,6117.2027
39,6868.1333,-495.8000,6104.3833
40,6868.1333,-461.7333,6004.3580
41,6868.1333,-435.9333,6020.4080
42,6868.2667,-372.3333,6023.7900
43,6868.2667,-399.6667,6001.3413
44,6868.2667,-205.5000,6098.8113
45,6868.2667,-473.0667,6030.8407
46,6868.2667,-433.6667,6040.7920
47,6868.2667,-332.4000,6162.0987
48,6868.2667,-389.3333,6143.3853
49,6868.2667,-500.7333,6077.5180
50,6868.2667,-367.3333,6085.1353
51,6868.2667,-367.6000,6068.3233
52,6868.2667,-533.9000,6088.0980
53,6868.2667,-429.0333,6146.1353
54,6868.2667,-460.0000,5975.8767
55,6868.2667,-481.6333,6049.7233
56,6868.2667,-440.9667,5999.8007
57,6868.2667,-306.1667,6039.2273
58,6868.2667,-460.9333,6068.5767
59,6868.2667,-463.6000,6019.7047
60,6868.2667,-563.8000,6080.3273
61,6868.2667,-459.6000,6011.6640
62,6868.2667,-506.7667,6180.4387
63,6868.2667,-429.2333,6048.5020
64,6868.2667,-433.1000,6059.3953
65,6868.2667,-139.6667,6169.3260
66,6868.2667,-428.0333,6060.5933
67,6868.2667,-447.6333,6066.3300
68,6868.2667,-495.1000,5980.0187
69,6868.2667,-364.6333,6057.7740
70,6868.2667,-433.8333,6063.4453
71,6868.6000,-435.9667,6117.7473
72,6868.6667,-498.3333,6039.1027
73,6868.6667,-563.0667,6110.7353
74,6868.6667,-401.4667,6036.7353
75,6868.6667,-488.7333,6065.6100
76,6868.6667,-169.3333,6126.0613
77,6868.6667,-459.7000,6102.5360
78,6868.6667,-501.4000,6090.1900
79,6868.6667,-358.4333,6040.7800
80,6868.6667,-561.2667,6019.0720
81,6868.6667,-628.2000,5995.5980
82,6868.6667,-292.9667,6032.5053
83,6868.6667,-460.9000,6017.1687
84,6868.6667,-397.6000,6075.3780
85,6868.6667,-460.6333,6159.2267
86,6868.6667,-503.3667,6084.7133
87,6868.6667,-430.2333,6140.8640
88,6868.6667,-166.2333,6085.6580
89,6868.6667,-496.2000,6062.9513
90,6868.6667,-501.1333,6048.4400
91,6868.6667,-503.0333,5969.5120
92,6868.6667,-392.4000,6096.1207
93,6868.6667,-366.8333,6137.4913
94,6868.6667,-404.3333,6078.1613
95,6868.6667,-294.3000,6171.2580
96,6868.6667,-325.0000,6105.3367
97,6868.6667,-466.7333,6107.5120
98,6868.6667,-216.9333,5994.8887
99,6868.6667,-299.7667,6075.9613
100,6868.6667,-465.0667,5908.3507
101,6868.6667,-464.2667,6036.7767
102,6868.6667,-460.6333,6070.1440
103,6868.6667,-329.0000,6071.3473
104,6868.6667,-499.6000,6098.6360
105,6868.6667,-496.0000,5968.4040
106,6868.6667,-429.4000,6126.5640
107,6868.6667,-568.1000,6040.5033
108,6868.6667,-332.4667,6125.5027
109,6868.6667,-357.2333,6167.9827
110,6868.6667,-384.9333,6096.0627
111,6868.6667,-144.5333,6069.1380
112,6868.6667,-214.9667,6017.9600
113,6868.6667,-271.5667,6012.5387
114,6868.6667,-533.5000,6000.4720
115,6868.6667,-467.7667,6066.7153
116,6868.6667,-431.1667,6058.9333
117,6868.6667,-102.2333,6095.5080
118,6868.6667,-501.5667,6066.0373
119,6868.6667,-392.7333,6111.2167
120,6868.6667,-543.3333,6024.5740
121,6868.6667,-359.7667,6044.8387
122,6868.6667,-596.8667,6087.9653
123,6868.6667,-431.5000,6041.7913
124,6868.6667,-498.0333,6002.2900
125,6868.6667,-363.9667,6124.9440
126,6868.6667,-502.8333,6057.1053
127,6868.6667,-321.4333,6043.6340
128,6868.6667,-401.0667,6142.1700
129,6868.6667,-428.2000,6005.5380
130,6868.6667,-432.3000,6021.2247
131,6868.6667,-461.9000,6094.1227
132,6868.6667,-329.3667,6142.4973
133,6868.6667,-560.4333,5980.1753
134,6868.6667,-352.6667,6025.8293
135,6868.6667,-567.6000,6085.6867
136,6868.6667,-390.9000,6139.4393
137,6868.6667,-357.0333,6132.7827
138,6868.6667,-392.5000,6113.2767
139,6868.6667,-472.8333,5912.5113
