geracao,melhor,pior,media
159,7087.0000,-997.0000,6904.9000
160,7087.0000,-997.0000,6925.2000
161,7087.0000,-997.0000,6581.7800
162,7087.0000,-997.0000,6763.4800
163,7087.0000,6070.0000,7026.3400
164,7087.0000,-997.0000,6925.0800
165,7087.0000,-997.0000,6925.2000
166,7087.0000,-997.0000,6743.2600
167,7087.0000,-997.0000,6864.6600
168,7087.0000,-997.0000,6864.5400
169,7087.0000,-997.0000,6904.8200
170,7087.0000,6070.0000,7066.3400
171,7087.0000,6080.0000,7046.4400
172,7087.0000,-997.0000,6905.1000
173,7087.0000,-997.0000,6924.8800
174,7087.0000,-997.0000,6885.0000
175,7087.0000,6070.0000,7026.1800
176,7087.0000,-997.0000,6925.1200
177,7087.0000,6080.0000,7046.6400
178,7087.0000,-997.0000,6722.8800
179,7087.0000,-997.0000,6884.5600
180,7087.0000,7085.0000,7086.9200
181,7087.0000,-997.0000,6904.9800
182,7087.0000,6070.0000,7046.2400
183,7087.0000,-997.0000,6581.1800
184,7087.0000,7081.0000,7086.7200
185,7087.0000,-997.0000,6884.7200
186,7087.0000,6070.0000,7046.2800
187,7087.0000,-997.0000,6884.5200
188,7087.0000,-997.0000,6925.0800
189,7087.0000,-997.0000,6419.7400
190,7087.0000,7081.0000,7086.6800
191,7087.0000,-997.0000,6723.0200
192,7087.0000,6070.0000,7066.6200
193,7087.0000,6080.0000,7066.5000
194,7087.0000,-997.0000,6540.9800
195,7087.0000,7081.0000,7086.8000
196,7087.0000,6070.0000,7066.5400
197,7087.0000,-997.0000,6925.0400
198,7087.0000,-997.0000,6723.0000
199,7087.0000,6070.0000,7066.5400
200,7087.0000,-997.0000,6258.3800
201,7087.0000,7085.0000,7086.9200
202,7087.0000,-994.0000,6925.2600
203,7087.0000,6070.0000,7046.2400
204,7087.0000,7081.0000,7086.8400
205,7087.0000,6070.0000,7066.3400
206,7087.0000,-997.0000,6581.2600
207,7087.0000,-997.0000,6743.5600
208,7087.0000,-997.0000,6581.4600
209,7087.0000,-997.0000,6905.1000
210,7087.0000,6080.0000,7066.6200
211,7087.0000,-997.0000,6743.1400
212,7087.0000,6080.0000,7066.8200
213,7087.0000,7081.0000,7086.8000
214,7087.0000,6080.0000,7046.6400
215,7087.0000,-997.0000,6905.1000
216,7087.0000,-997.0000,6904.7800
217,7087.0000,7081.0000,7086.7600
218,7087.0000,6080.0000,7046.6400
219,7087.0000,-997.0000,6904.7800
220,7087.0000,-997.0000,6904.8200
221,7087.0000,6080.0000,7066.5000
222,7087.0000,6068.0000,7046.3600
223,7087.0000,6070.0000,7026.1000
224,7087.0000,-997.0000,6723.2000
225,7087.0000,6080.0000,7046.4000
226,7087.0000,-997.0000,6884.6800
227,7087.0000,6080.0000,7066.7800
228,7087.0000,-997.0000,6925.0000
229,7087.0000,-997.0000,6844.2000
230,7087.0000,-997.0000,6763.5600
231,7087.0000,7081.0000,7086.8000
232,7087.0000,-997.0000,6723.0000
233,7087.0000,6070.0000,7026.2600
234,7087.0000,-997.0000,6884.5200
235,7087.0000,-997.0000,6601.6400
236,7087.0000,-997.0000,6924.9200
237,7087.0000,-997.0000,6925.2800
238,7087.0000,-997.0000,6743.4000
